ShowName,Links,Imdb,Reelgood,Genres,MaturityRating,RunningDate,Seasons,ReturningDate,Service,Country
Wilfred,https://reelgood.com/show/wilfred-2011,7.9,60.0,"['Comedy', 'Drama']",Rated: 18+ (TV-MA),2007 - 2010,2 Seasons,Series Ended,['Prime Video'],
Fear City: New York vs The Mafia,https://reelgood.com/show/fear-city-new-york-vs-the-mafia-2020,7.2,75.0,"['Crime', 'Documentary', 'Mystery', 'Reality']",Rated: 18+ (TV-MA),2020 - 2020,1 Season,Series Ended,['Netflix'],Country: America
Lilyhammer,https://reelgood.com/show/lilyhammer-2012,8.0,75.0,"['Comedy', 'Crime', 'Drama']",Rated: 18+ (TV-MA),2012 - 2014,3 Seasons,Series Ended,['Netflix'],Country: Norway
Unsolved Mysteries,https://reelgood.com/show/unsolved-mysteries-2020,7.4,75.0,"['Crime', 'Documentary', 'Drama', 'Mystery', 'Reality']",Rated: 18+ (TV-MA),2020 - Present,1 Season,Returning: Date TBA,['Netflix'],Country: America
Unsolved Mysteries,https://reelgood.com/show/unsolved-mysteries-2020,8.3,66.0,"['Crime', 'Documentary', 'Drama', 'Mystery', 'Reality']",Rated: 7+ (TV-PG),1987 - 2020,15 Seasons,"Returns: Oct. 19, 2020","['Hulu', 'Prime Video', 'Hoopla']",
Caprica,https://reelgood.com/show/caprica-2010,7.1,75.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2010 - 2011,1 Season,Series Ended,"['Hulu', 'Prime Video', 'Hoopla']",Country: America ...More CountriesAmericaCanada
Steven Universe,https://reelgood.com/show/steven-universe-2013,8.2,75.0,"['Action & Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy', 'LGBTQ']",Rated: 7+ (TV-PG),2013 - 2018,7 Seasons,Series Ended,"['Hulu', 'HBO', 'HBO MAX']",Country: America
The White Queen,https://reelgood.com/show/the-white-queen-2013,7.8,75.0,['Drama'],Rated: 14+ (TV-14),2013 - 2013,1 Season,Series Ended,['Starz'],Country: United Kingdom
Marvel's Iron Fist,https://reelgood.com/show/marvels-iron-fist-2017,6.5,75.0,"['Action & Adventure', 'Crime', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 18+ (TV-MA),2017 - 2018,2 Seasons,Series Ended,['Netflix'],Country: America
"I, Claudius",https://reelgood.com/show/i-claudius-1976,8.7,75.0,['Drama'],,1976 - 1976,1 Season,Series Ended,"['Hoopla', 'AcornTV']",Country: United Kingdom
Death in Paradise,https://reelgood.com/show/death-in-paradise-2011,7.8,75.0,"['Action & Adventure', 'Comedy', 'Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2011 - Present,9 Seasons,Returning: Date TBA,"['Hoopla', 'BritBox']",Country: United Kingdom
Middleditch & Schwartz,https://reelgood.com/show/middleditch-schwartz-2020,8.7,75.0,['Comedy'],Rated: 18+ (TV-MA),2020 - Present,1 Season,Returning: Date TBA,['Netflix'],
CSI: Crime Scene Investigation,https://reelgood.com/show/csi-crime-scene-investigation-2000,7.6,75.0,"['Action & Adventure', 'Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2000 - 2015,16 Seasons,Series Ended,"['Hulu', 'fuboTV', 'CBS All Access']",Country: America
Tom and Jerry,https://reelgood.com/show/tom-and-jerry-1940,8.7,74.0,"['Animation', 'Children', 'Comedy']",Rated: All (TV-G),1940 - 1967,6 Seasons,Series Ended,"['HBO', 'HBO MAX']",Country: America
The Politician,https://reelgood.com/show/the-politician-2019,7.5,75.0,"['Comedy', 'Drama']",Rated: 14+ (TV-14),2019 - Present,2 Seasons,Returning: Date TBA,['Netflix'],Country: America
North & South,https://reelgood.com/show/north-south-2004,8.6,74.0,['Drama'],Rated: 7+ (TV-PG),2004 - 1994,3 Seasons,Series Ended,"['Netflix', 'Hoopla']",
Brockmire,https://reelgood.com/show/brockmire-2017,8.0,75.0,"['Comedy', 'Drama', 'Sport']",Rated: 18+ (TV-MA),2017 - 2020,4 Seasons,Series Ended,"['Hulu', 'fuboTV']",Country: America
Teenage Mutant Ninja Turtles,https://reelgood.com/show/teenage-mutant-ninja-turtles-2003,7.8,69.0,"['Action & Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),2012 - 2017,5 Seasons,Series Ended,['Hulu'],Country: America
Madam Secretary,https://reelgood.com/show/madam-secretary-2014,7.6,75.0,['Drama'],Rated: 14+ (TV-14),2014 - 2019,6 Seasons,Series Ended,"['Netflix', 'CBS All Access']",Country: America
Saturday Night Live,https://reelgood.com/show/saturday-night-live-1975,8.1,75.0,['Comedy'],Rated: 14+ (TV-14),1975 - Present,45 Seasons,Returning: Date TBA,"['Hulu', 'fuboTV']",
Last Chance U,https://reelgood.com/show/last-chance-u-2016,8.5,74.0,"['Documentary', 'Sport']",Rated: 14+ (TV-14),2016 - Present,5 Seasons,Returning: Date TBA,['Netflix'],Country: America
Babylon Berlin,https://reelgood.com/show/babylon-berlin-2017,8.4,74.0,"['Crime', 'Drama']",Rated: 18+ (TV-MA),2017 - Present,3 Seasons,Returning: Date TBA,['Netflix'],Country: Germany
Crash Landing on You,https://reelgood.com/show/crash-landing-on-you,8.8,74.0,"['Action & Adventure', 'Comedy', 'Drama']",Rated: 14+ (TV-14),2019 - 2020,1 Season,Series Ended,['Netflix'],Country: South Korea
Project Blue Book,https://reelgood.com/show/project-blue-book-2019,7.6,74.0,"['Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2019 - 2020,2 Seasons,Series Ended,['Netflix'],Country: America
A.P. Bio,https://reelgood.com/show/ap-bio-2017,7.3,74.0,['Comedy'],Rated: 14+ (TV-14),2018 - Present,3 Seasons,Returning: Date TBA,['Peacock'],Country: America
Code Geass: Lelouch of the Rebellion,https://reelgood.com/show/code-geass-lelouch-of-the-rebellion-2006,8.6,74.0,"['Action & Adventure', 'Animation', 'Anime', 'Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 18+ (TV-MA),2006 - 2008,2 Seasons,Series Ended,"['Netflix', 'Funimation']",Country: Japan
Marianne,https://reelgood.com/show/marianne-2019,7.5,74.0,"['Drama', 'Horror', 'Mystery']",Rated: 18+ (TV-MA),2019 - 2019,1 Season,Series Ended,['Netflix'],
Fullmetal Alchemist,https://reelgood.com/show/fullmetal-alchemist-2003,8.5,74.0,"['Action & Adventure', 'Animation', 'Anime', 'Comedy', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2003 - 2006,2 Seasons,Series Ended,['Netflix'],Country: Japan
Dragon Ball Super,https://reelgood.com/show/dragon-ball-super-2015,8.4,74.0,"['Action & Adventure', 'Animation', 'Anime', 'Comedy', 'Family', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 7+ (TV-PG),2015 - 2017,10 Seasons,Series Ended,"['fuboTV', 'Funimation']",
The New Legends of Monkey,https://reelgood.com/show/the-legend-of-monkey-2018,6.5,74.0,"['Action & Adventure', 'Comedy', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),2018 - Present,2 Seasons,Returning: Date TBA,['Netflix'],
Hellsing Ultimate,https://reelgood.com/show/hellsing-ultimate-2006,8.3,74.0,"['Action & Adventure', 'Animation', 'Anime', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Science-Fiction']",Rated: 18+ (TV-MA),2006 - 2013,1 Season,Series Ended,['Hulu'],Country: Japan
The Wonder Years,https://reelgood.com/show/the-wonder-years-1988,8.3,74.0,"['Comedy', 'Drama', 'Family']",Rated: 7+ (TV-PG),1988 - 1993,6 Seasons,Series Ended,['Hulu'],Country: America
Strike Back,https://reelgood.com/show/strike-back-2010,8.2,74.0,"['Action & Adventure', 'Drama']",Rated: 18+ (TV-MA),2010 - 2020,8 Seasons,Series Ended,"['Prime Video', 'Cinemax']",Country: United Kingdom
MacGyver,https://reelgood.com/show/macgyver-1985,7.7,74.0,"['Action & Adventure', 'Crime', 'Drama']",Rated: 7+ (TV-PG),1985 - 1992,7 Seasons,Series Ended,"['Prime Video', 'CBS All Access']",Country: America ...More CountriesAmericaCanada
MacGyver,https://reelgood.com/show/macgyver-1985,5.3,63.0,"['Action & Adventure', 'Drama']",Rated: 14+ (TV-14),2016 - Present,5 Seasons,Returning: Date TBA,"['fuboTV', 'CBS All Access']",Country: America
Cougar Town,https://reelgood.com/show/cougar-town-2009,7.0,74.0,['Comedy'],Rated: 7+ (TV-PG),2009 - 2015,6 Seasons,Series Ended,"['Hulu', 'Prime Video']",Country: America
United States of Tara,https://reelgood.com/show/united-states-of-tara-2009,7.9,74.0,"['Comedy', 'Drama']",Rated: 18+ (TV-MA),2009 - 2011,3 Seasons,Series Ended,"['fuboTV', 'Showtime']",Country: America
Marvel's Cloak & Dagger,https://reelgood.com/show/marvels-cloak-and-dagger-2018,6.7,74.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2018 - 2019,2 Seasons,Series Ended,['Hulu'],Country: America
Doctor Foster,https://reelgood.com/show/doctor-foster-2015,7.7,74.0,['Drama'],Rated: 14+ (TV-14),2015 - 2017,2 Seasons,Series Ended,"['Netflix', 'Hoopla']",Country: United Kingdom
Norsemen,https://reelgood.com/show/vikingane-2016,7.8,75.0,"['Comedy', 'Drama']",Rated: 18+ (TV-MA),2016 - Present,3 Seasons,Returning: Date TBA,['Netflix'],
Last Tango in Halifax,https://reelgood.com/show/last-tango-in-halifax-2012,8.3,74.0,"['Comedy', 'Drama']",Rated: 14+ (TV-14),2012 - Present,5 Seasons,Returning: Date TBA,['Netflix'],
PEN15,https://reelgood.com/show/pen15-2019,7.9,74.0,['Comedy'],Rated: 18+ (TV-MA),2019 - Present,1 Season,Returning: Date TBA,['Hulu'],
Ghost Whisperer,https://reelgood.com/show/ghost-whisperer-2005,6.3,74.0,"['Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 7+ (TV-PG),2005 - 2010,5 Seasons,Series Ended,"['Hulu', 'Prime Video']",Country: America
Witches of East End,https://reelgood.com/show/witches-of-east-end-2013,7.6,74.0,"['Comedy', 'Drama', 'Fantasy', 'Horror', 'Science-Fiction']",Rated: 14+ (TV-14),2013 - 2014,2 Seasons,Series Ended,['Hulu'],Country: America
Trinkets,https://reelgood.com/show/trinkets-2019,7.1,74.0,"['Comedy', 'Crime', 'Drama']",Rated: 7+ (TV-PG),2019 - Present,2 Seasons,Returning: Date TBA,['Netflix'],
Home Before Dark,https://reelgood.com/show/home-before-dark-2020,7.5,74.0,"['Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2020 - Present,1 Season,Returning: Date TBA,['Apple TV+'],
Last Resort,https://reelgood.com/show/last-resort-2012,7.4,74.0,"['Action & Adventure', 'Comedy', 'Documentary', 'Drama', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2012 - 2013,1 Season,Series Ended,['Apple TV+'],Country: America
Jeffrey Epstein: Filthy Rich,https://reelgood.com/show/jeffrey-epstein-filthy-rich-2020,7.1,74.0,"['Crime', 'Documentary']",Rated: 18+ (TV-MA),2020 - 2020,1 Season,Series Ended,['Netflix'],
Manifest,https://reelgood.com/show/manifest-2018,7.2,74.0,"['Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2018 - Present,2 Seasons,Returning: Date TBA,"['Hulu', 'Peacock', 'fuboTV']",
The Plot Against America,https://reelgood.com/show/the-plot-against-america-2020,7.3,74.0,"['Drama', 'Fantasy', 'Science-Fiction']",Rated: 18+ (TV-MA),2020 - 2020,1 Season,Series Ended,"['HBO', 'HBO MAX']",Country: America
Queer as Folk,https://reelgood.com/show/queer-as-folk-1999,8.2,74.0,"['Drama', 'LGBTQ']",Rated: 18+ (TV-MA),1999 - 2005,5 Seasons,Series Ended,"['Prime Video', 'Showtime', 'AcornTV']",
American Crime,https://reelgood.com/show/american-crime-2015,7.8,74.0,"['Action & Adventure', 'Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2015 - 2017,3 Seasons,Series Ended,['Netflix'],Country: America
Letterkenny,https://reelgood.com/show/letterkenny-2016,8.7,74.0,['Comedy'],Rated: 18+ (TV-MA),2016 - Present,8 Seasons,Returning: Date TBA,['Hulu'],
Mob Psycho 100,https://reelgood.com/show/mob-psycho-100-2016,8.5,74.0,"['Action & Adventure', 'Animation', 'Anime', 'Comedy', 'Fantasy', 'Horror']",Rated: 14+ (TV-14),2016 - 2019,2 Seasons,Series Ended,"['HBO', 'HBO MAX', 'Crunchyroll', 'Funimation']",Country: Japan
Mob Psycho 100,https://reelgood.com/show/mob-psycho-100-2016,5.1,44.0,"['Action & Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: All (TV-G),2018 - Present,1 Season,Returning: Date TBA,['Netflix'],Country: Japan
Treme,https://reelgood.com/show/treme-2010,8.2,74.0,['Drama'],Rated: 18+ (TV-MA),2010 - 2013,4 Seasons,Series Ended,"['HBO', 'HBO MAX']",Country: America
Doctor Who,https://reelgood.com/show/doctor-who-1963,8.6,84.0,"['Action & Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 7+ (TV-PG),2005 - Present,12 Seasons,Returning: Date TBA,"['HBO', 'HBO MAX']",Country: United Kingdom
Doctor Who,https://reelgood.com/show/doctor-who-1963,8.4,74.0,"['Action & Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),1963 - 2013,27 Seasons,Series Ended,['BritBox'],Country: United Kingdom
Nashville,https://reelgood.com/show/nashville-2012,7.7,74.0,['Drama'],Rated: 14+ (TV-14),2012 - 2018,6 Seasons,Series Ended,['Hulu'],Country: America
A Very English Scandal,https://reelgood.com/show/a-very-english-scandal-2018,7.7,74.0,"['Comedy', 'Crime', 'Drama']",Rated: 14+ (TV-14),2018 - 2018,1 Season,Series Ended,['Prime Video'],Country: United Kingdom
How to Sell Drugs Online (Fast),https://reelgood.com/show/how-to-sell-drugs-online-fast-2019,7.9,74.0,"['Comedy', 'Crime', 'Drama']",Rated: 14+ (TV-14),2019 - Present,2 Seasons,Returning: Date TBA,['Netflix'],Country: Germany
Baby,https://reelgood.com/show/baby-2018,6.8,74.0,['Drama'],Rated: 18+ (TV-MA),2018 - Present,3 Seasons,Returning: Date TBA,['Netflix'],Country: Italy
Shooter,https://reelgood.com/show/shooter-2016,7.5,74.0,"['Action & Adventure', 'Drama']",Rated: 14+ (TV-14),2016 - 2018,3 Seasons,Series Ended,['Netflix'],Country: America
Young Sheldon,https://reelgood.com/show/young-sheldon-2017,7.4,74.0,"['Comedy', 'Family']",Rated: 7+ (TV-PG),2017 - Present,3 Seasons,Returning: Date TBA,"['HBO', 'HBO MAX', 'fuboTV', 'CBS All Access']",
Midsomer Murders,https://reelgood.com/show/midsomer-murders-1997,7.7,74.0,"['Action & Adventure', 'Animation', 'Crime', 'Drama', 'Mystery']",Rated: 7+ (TV-PG),1997 - Present,21 Seasons,Returning: Date TBA,"['BritBox', 'AcornTV']",Country: United Kingdom
Show Me a Hero,https://reelgood.com/show/show-me-a-hero-2015,8.1,74.0,"['Crime', 'Drama']",Rated: 18+ (TV-MA),2015 - 2015,1 Season,Series Ended,"['HBO', 'HBO MAX']",Country: America
Raising Dion,https://reelgood.com/show/raising-dion,7.2,74.0,"['Action & Adventure', 'Drama', 'Family', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),2019 - Present,1 Season,Returning: Date TBA,['Netflix'],Country: America
One Tree Hill,https://reelgood.com/show/one-tree-hill-2003,7.7,74.0,"['Drama', 'Sport']",Rated: 14+ (TV-14),2003 - 2012,9 Seasons,Series Ended,['Hulu'],Country: America
"Eerie, Indiana",https://reelgood.com/show/eerie-indiana-1991,8.2,74.0,"['Action & Adventure', 'Children', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Horror', 'Mystery', 'Science-Fiction']",Rated: 7+ (TV-PG),1991 - 1998,2 Seasons,Series Ended,['Prime Video'],Country: America
The Closer,https://reelgood.com/show/the-closer-2005,7.6,73.0,"['Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2005 - 2012,7 Seasons,Series Ended,"['HBO', 'HBO MAX']",Country: America
Ugly Betty,https://reelgood.com/show/ugly-betty-2006,6.5,73.0,"['Comedy', 'Drama']",Rated: 7+ (TV-PG),2006 - 2010,4 Seasons,Series Ended,['Hulu'],Country: America
Legacies,https://reelgood.com/show/legacies-2018,7.5,74.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2018 - Present,2 Seasons,Returning: Date TBA,['Netflix'],Country: America
The Looming Tower,https://reelgood.com/show/the-looming-tower-2017,8.0,74.0,['Drama'],Rated: 18+ (TV-MA),2018 - 2018,1 Season,Series Ended,['Hulu'],Country: America
Roots,https://reelgood.com/show/roots-1977,7.9,71.0,['Drama'],Rated: 14+ (TV-14),2016 - 2016,1 Season,Series Ended,['Hulu'],
Married... with Children,https://reelgood.com/show/married-with-children-1987,8.0,74.0,['Comedy'],Rated: 7+ (TV-PG),1987 - 1997,11 Seasons,Series Ended,['Hulu'],
Voltron: Legendary Defender,https://reelgood.com/show/voltron-legendary-defender-2016,8.1,74.0,"['Action & Adventure', 'Animation', 'Children', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),2016 - 2018,8 Seasons,Series Ended,['Netflix'],
Mr Inbetween,https://reelgood.com/show/mr-inbetween-2018,8.3,74.0,"['Comedy', 'Crime', 'Drama']",Rated: 18+ (TV-MA),2018 - Present,2 Seasons,Returning: Date TBA,['Hulu'],
The Amazing World of Gumball,https://reelgood.com/show/the-amazing-world-of-gumball-2011,8.2,74.0,"['Action & Adventure', 'Animation', 'Children', 'Comedy', 'Family', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),2011 - 2017,8 Seasons,Series Ended,"['Hulu', 'HBO', 'HBO MAX', 'Hoopla']",Country: America ...More CountriesAmericaUnited Kingdom
Smash,https://reelgood.com/show/smash-2012,7.7,73.0,['Drama'],Rated: 14+ (TV-14),2012 - 2013,2 Seasons,Series Ended,"['Hulu', 'HBO', 'HBO MAX', 'Hoopla']",Country: America
Gintama,https://reelgood.com/show/gintama-2006,8.6,73.0,"['Action & Adventure', 'Animation', 'Anime', 'Comedy', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2006 - Present,11 Seasons,Returning: Date TBA,"['Hulu', 'HBO', 'HBO MAX', 'Hoopla']",Country: Japan
The Rain,https://reelgood.com/show/the-rain-2018,6.3,74.0,"['Drama', 'Fantasy', 'Science-Fiction']",Rated: 18+ (TV-MA),2018 - 2020,3 Seasons,Series Ended,['Netflix'],Country: Denmark
Godfather of Harlem,https://reelgood.com/show/godfather-of-harlem,8.0,73.0,"['Crime', 'Drama']",Rated: 18+ (TV-MA),2019 - Present,1 Season,Returning: Date TBA,['Epix'],Country: America
The Rockford Files,https://reelgood.com/show/the-rockford-files-1974,8.1,74.0,"['Action & Adventure', 'Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),1974 - 1999,7 Seasons,Series Ended,['Epix'],
House of Lies,https://reelgood.com/show/house-of-lies-2012,7.4,74.0,"['Comedy', 'Drama']",Rated: 18+ (TV-MA),2012 - 2016,5 Seasons,Series Ended,"['fuboTV', 'Showtime']",
Lois & Clark: The New Adventures of Superman,https://reelgood.com/show/lois-clark-the-new-adventures-of-superman-1993,6.7,74.0,"['Action & Adventure', 'Comedy', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),1993 - 1997,4 Seasons,Series Ended,['DC Universe'],Country: America
Invasion,https://reelgood.com/show/invasion-2005,7.5,73.0,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2005 - 2007,1 Season,Series Ended,['DC Universe'],Country: America
The Goldbergs,https://reelgood.com/show/the-goldbergs-2013,8.1,74.0,['Comedy'],Rated: 7+ (TV-PG),2013 - Present,7 Seasons,Returning: Date TBA,['Hulu'],
The Goldbergs,https://reelgood.com/show/the-goldbergs-2013,8.1,45.0,['Comedy'],,1949 - 1956,1 Season,Series Ended,['Hulu'],Country: America
Bunheads,https://reelgood.com/show/bunheads-2012,7.6,73.0,"['Comedy', 'Documentary', 'Drama']",Rated: 14+ (TV-14),2012 - 2013,1 Season,Series Ended,['Hulu'],Country: America
The Resident,https://reelgood.com/show/the-resident,7.6,74.0,['Drama'],Rated: 14+ (TV-14),2018 - Present,3 Seasons,Returning: Date TBA,"['Hulu', 'fuboTV']",Country: America
Bored to Death,https://reelgood.com/show/bored-to-death-2009,7.9,73.0,"['Comedy', 'Crime', 'Mystery']",Rated: 18+ (TV-MA),2009 - 2011,3 Seasons,Series Ended,"['HBO', 'HBO MAX']",Country: America
Pennyworth,https://reelgood.com/show/pennyworth-2019,8.0,73.0,"['Action & Adventure', 'Crime', 'Drama']",Rated: 18+ (TV-MA),2019 - Present,1 Season,Returning: Date TBA,['Epix'],Country: America
Red Oaks,https://reelgood.com/show/red-oaks-2014,7.9,73.0,"['Comedy', 'Drama', 'Sport']",Rated: 18+ (TV-MA),2014 - 2017,3 Seasons,Series Ended,['Prime Video'],Country: America
Dark Desire,https://reelgood.com/show/dark-desire-2020,6.4,74.0,"['Crime', 'Drama', 'Mystery']",Rated: 18+ (TV-MA),2020 - Present,1 Season,Returning: Date TBA,['Netflix'],
Scream Queens,https://reelgood.com/show/scream-queens-2015,7.1,73.0,"['Comedy', 'Crime', 'Horror', 'Mystery']",Rated: 14+ (TV-14),2015 - 2016,2 Seasons,Series Ended,['Hulu'],Country: America
Scream Queens,https://reelgood.com/show/scream-queens-2015,7.3,52.0,"['Horror', 'Reality']",Rated: 14+ (TV-14),2008 - 2010,2 Seasons,Series Ended,['Hulu'],
MythBusters,https://reelgood.com/show/mythbusters-2003,8.3,73.0,"['Documentary', 'Mystery', 'Reality']",Rated: 7+ (TV-PG),2003 - 2017,24 Seasons,Series Ended,['Hulu'],Country: America
Full House,https://reelgood.com/show/full-house-1987,6.7,73.0,"['Comedy', 'Drama', 'Family']",Rated: All (TV-G),1987 - 1995,8 Seasons,Series Ended,"['Hulu', 'fuboTV']",Country: America
Alone,https://reelgood.com/show/alone-2015,8.4,73.0,"['Documentary', 'Game Show', 'Reality']",Rated: 14+ (TV-14),2015 - Present,7 Seasons,Returning: Date TBA,"['Hulu', 'fuboTV', 'Hoopla']",Country: America
I Love Lucy,https://reelgood.com/show/i-love-lucy-1951,8.4,73.0,"['Comedy', 'Family']",Rated: All (TV-G),1951 - 2019,10 Seasons,Series Ended,"['Hulu', 'CBS All Access']",Country: America
Better Than Us,https://reelgood.com/show/better-than-us-2018,7.4,74.0,"['Drama', 'Fantasy', 'Science-Fiction']",,2018 - Present,2 Seasons,Returning: Date TBA,['Netflix'],
Dracula,https://reelgood.com/show/dracula-2020,6.8,74.0,"['Drama', 'Fantasy', 'Horror', 'Science-Fiction']",Rated: 18+ (TV-MA),2020 - 2020,1 Season,Series Ended,['Netflix'],Country: United Kingdom
Dracula,https://reelgood.com/show/dracula-2020,7.4,68.0,"['Drama', 'Horror']",Rated: 18+ (TV-MA),2013 - 2014,1 Season,Series Ended,['Netflix'],Country: America ...More CountriesAmericaUnited Kingdom
The Daily Show with Trevor Noah,https://reelgood.com/show/the-daily-show-1996,8.3,73.0,['Comedy'],Rated: 14+ (TV-14),1996 - Present,25 Seasons,"Returns: Sep. 9, 2020","['fuboTV', 'CBS All Access']",Country: America
Justice League,https://reelgood.com/show/justice-league-2001,8.5,73.0,"['Action & Adventure', 'Animation', 'Children', 'Crime', 'Drama', 'Family', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 7+ (TV-PG),2001 - 2006,5 Seasons,Series Ended,['DC Universe'],Country: America
Make It or Break It,https://reelgood.com/show/make-it-or-break-it-2009,7.5,73.0,"['Drama', 'Sport']",Rated: 14+ (TV-14),2009 - 2012,3 Seasons,Series Ended,['Hulu'],Country: America
Search Party,https://reelgood.com/show/search-party-2016,7.6,73.0,"['Comedy', 'Crime', 'Drama', 'Mystery']",Rated: 18+ (TV-MA),2016 - Present,3 Seasons,Returning: Date TBA,"['HBO', 'HBO MAX', 'Hoopla']",Country: America
Mildred Pierce,https://reelgood.com/show/mildred-pierce-2011,7.7,73.0,['Drama'],Rated: 18+ (TV-MA),2011 - 2011,1 Season,Series Ended,"['HBO', 'HBO MAX']",Country: America
Miraculous: Tales of Ladybug & Cat Noir,https://reelgood.com/show/miraculous-tales-of-ladybug-cat-noir-2015,7.8,73.0,"['Action & Adventure', 'Animation', 'Children', 'Comedy', 'Family', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),2015 - Present,3 Seasons,Returning: Date TBA,['Netflix'],Country: France
Survivor,https://reelgood.com/show/survivor-2000,7.2,73.0,"['Action & Adventure', 'Game Show', 'Reality']",Rated: 7+ (TV-PG),2000 - Present,40 Seasons,Returning: Date TBA,"['Hulu', 'Prime Video', 'CBS All Access']",Country: America
Dr. Stone,https://reelgood.com/show/dr-stone-2019,8.2,73.0,"['Action & Adventure', 'Animation', 'Anime', 'Comedy', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),2019 - Present,2 Seasons,Returning: Date TBA,['Funimation'],Country: Japan
Knight Rider,https://reelgood.com/show/knight-rider-1982,6.9,73.0,"['Action & Adventure', 'Crime', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 7+ (TV-PG),1982 - 1986,4 Seasons,Series Ended,['Starz'],Country: America
Knight Rider,https://reelgood.com/show/knight-rider-1982,5.6,62.0,"['Action & Adventure', 'Crime', 'Drama', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2008 - 2009,1 Season,Series Ended,['Starz'],Country: America
Transparent,https://reelgood.com/show/transparent-2014,7.8,73.0,"['Comedy', 'Drama', 'LGBTQ']",Rated: 18+ (TV-MA),2014 - 2019,5 Seasons,Series Ended,['Prime Video'],
Reaper,https://reelgood.com/show/reaper-2007,7.7,73.0,"['Action & Adventure', 'Comedy', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2007 - 2009,2 Seasons,Series Ended,['Prime Video'],Country: America
Quantico,https://reelgood.com/show/quantico-2015,6.7,73.0,"['Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2015 - 2018,3 Seasons,Series Ended,['Netflix'],Country: America
The Hour,https://reelgood.com/show/the-hour-2011,8.0,73.0,['Drama'],Rated: 18+ (TV-MA),2011 - 2012,2 Seasons,Series Ended,['AcornTV'],Country: United Kingdom
In Treatment,https://reelgood.com/show/in-treatment-2008,8.3,73.0,['Drama'],Rated: 18+ (TV-MA),2008 - 2010,3 Seasons,Series Ended,"['HBO', 'HBO MAX']",Country: America ...More CountriesAmericaIsrael
Five Came Back,https://reelgood.com/show/five-came-back-2017,8.3,73.0,['Documentary'],Rated: 14+ (TV-14),2017 - 2017,1 Season,Series Ended,['Netflix'],Country: America
InuYasha,https://reelgood.com/show/inuyasha-2000,7.9,73.0,"['Action & Adventure', 'Animation', 'Anime', 'Comedy', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 14+ (TV-14),2000 - 2018,9 Seasons,Series Ended,"['Netflix', 'Hulu', 'HBO', 'HBO MAX']",Country: Japan
