ShowName,Links,Imdb,Reelgood,Genres,MaturityRating,RunningDate,Seasons,ReturningDate,Service,Country
Raggs,https://reelgood.com/show/raggs-2006,,40.0,['Children'],,2006 - 2006,1 Season,Series Ended,"['Prime Video', 'Starz', 'Hoopla']",
The Disappearance of Phoenix Coldon,https://reelgood.com/show/the-disappearance-of-phoenix-coldon-2018,6.7,35.0,"['Crime', 'Documentary', 'Reality']",Rated: 14+ (TV-14),2018 - Present,1 Season,Returning: Date TBA,,
1941 and the man of steel,https://reelgood.com/show/world-war-two-1941-and-the-man-of-steel-2011,7.4,38.0,['Documentary'],,2011 - 2011,1 Season,Series Ended,,Country: United Kingdom
Betsy's Kindergarten Adventures,https://reelgood.com/show/betsys-kindergarten-adventures-2008,5.2,35.0,"['Animation', 'Children', 'Family']",,2008 - 2008,1 Season,Series Ended,"['Prime Video', 'Hoopla']",
Murder for Hire,https://reelgood.com/show/murder-for-hire-2019,7.0,35.0,"['Crime', 'Documentary']",Rated: 14+ (TV-14),2019 - Present,1 Season,Returning: Date TBA,"['Prime Video', 'Hoopla']",
The Grill Dads,https://reelgood.com/show/the-grill-dads-2017,7.7,36.0,"['Family', 'Food', 'Reality']",Rated: 7+ (TV-PG),2017 - Present,1 Season,Returning: Date TBA,['Hulu'],
Murdered by Morning,https://reelgood.com/show/murdered-by-morning-2020,5.9,35.0,"['Crime', 'Reality']",,2020 - Present,1 Season,Returning: Date TBA,['fuboTV'],
Flip This House,https://reelgood.com/show/flip-this-house-2011,6.2,35.0,['Reality'],Rated: All (TV-G),2005 - Present,5 Seasons,Returning: Date TBA,['fuboTV'],
Iconic Characters,https://reelgood.com/show/iconic-characters-2018,6.8,35.0,,,2018 - Present,1 Season,Returning: Date TBA,"['Hulu', 'Prime Video']",
Honest Ads,https://reelgood.com/show/honest-ads-2017,8.5,35.0,['Comedy'],,2017 - Present,3 Seasons,Returning: Date TBA,['Prime Video'],
History Specials,https://reelgood.com/show/history-specials-2010,7.3,34.0,['Documentary'],Rated: 14+ (TV-14),2010 - Present,5 Seasons,"Returns: Jan. 18, 2038",['Prime Video'],
Out There with Jack Randall,https://reelgood.com/show/out-there-with-jack-randall-2019,7.1,35.0,['Documentary'],,2019 - Present,1 Season,Returning: Date TBA,['Disney+'],
Fat Guy Stuck in Internet,https://reelgood.com/show/fat-guy-stuck-in-internet-2007,5.3,35.0,"['Comedy', 'Science-Fiction']",Rated: 14+ (TV-14),2007 - 2008,1 Season,Series Ended,['Disney+'],
So Sharp,https://reelgood.com/show/so-sharp-2017,7.8,35.0,"['Drama', 'Reality', 'Sport']",Rated: 7+ (TV-PG),2017 - Present,1 Season,Returning: Date TBA,['Hoopla'],
Deadliest Catch: Bloodline,https://reelgood.com/show/deadliest-catch-bloodline-2020,7.3,35.0,"['Documentary', 'Reality']",Rated: 14+ (TV-14),2020 - Present,1 Season,Returning: Date TBA,['fuboTV'],
P. King Duckling,https://reelgood.com/show/p-king-duckling,6.2,35.0,"['Animation', 'Children', 'Family']",Rated: All (TV-G),2018 - Present,1 Season,Returning: Date TBA,['Netflix'],
Beach Hunters,https://reelgood.com/show/beach-hunters-2016,4.9,35.0,"['Home & Garden', 'Reality']",,2016 - Present,6 Seasons,Returning: Date TBA,['fuboTV'],
Gonzaga: The March to Madness,https://reelgood.com/show/gonzaga-the-march-to-madness-2016,,35.0,"['Documentary', 'Reality', 'Sport']",Rated: 7+ (TV-PG),2016 - Present,1 Season,Returning: Date TBA,['HBO'],
Teen Mom 3,https://reelgood.com/show/teen-mom-3-2013,3.9,35.0,"['Documentary', 'Reality']",,2013 - 2013,1 Season,Series Ended,['HBO'],Country: America
Desert Car Kings,https://reelgood.com/show/desert-car-kings-2011,,,,,,,,,
Dead Again,https://reelgood.com/show/doa-2014,7.2,35.0,"['Crime', 'Documentary', 'Reality']",,2014 - Present,1 Season,Returning: Date TBA,['Hulu'],
